                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.57222,                  1.085,                0.50218,                0.98735,                0.84406,                0.82999,                0.87029,                  0.741,                0.83798,                0.82489,                0.86095,                0.70963,                0.54648,                 1.2851,                0.60658,                 1.0469,             0.00051706,             0.00051706,             0.00051706
                     57,                0.56682,                 1.0638,                0.49858,                 0.9836,                0.81429,                0.81652,                0.85582,                0.73026,                0.80613,                0.82193,                0.84643,                0.69837,                0.55591,                 1.2207,                0.63411,                 1.0554,             0.00050606,             0.00050606,             0.00050606
                     58,                0.57137,                 1.0754,                0.49404,                0.98344,                0.81136,                0.84869,                0.85352,                0.73163,                0.81426,                0.84515,                0.84401,                0.69461,                0.55596,                 1.2769,                0.60612,                 1.0658,             0.00049506,             0.00049506,             0.00049506
                     59,                0.55763,                 1.0514,                0.48695,                 0.9776,                0.83158,                0.82737,                0.85905,                0.73671,                 0.8242,                0.81954,                0.84823,                0.70038,                0.54069,                 1.2806,                0.61145,                 1.0504,             0.00048406,             0.00048406,             0.00048406
                     60,                0.56338,                  1.066,                0.49659,                0.98484,                0.81634,                0.83358,                0.85167,                0.73156,                0.81209,                0.82449,                0.83983,                0.69631,                0.54582,                 1.2658,                0.59071,                 1.0456,             0.00047306,             0.00047306,             0.00047306
                     61,                0.56082,                 1.0657,                0.48596,                0.98302,                0.83492,                0.81508,                 0.8646,                0.73794,                0.83041,                0.80816,                0.84716,                0.70617,                0.54906,                 1.2775,                0.61331,                 1.0583,             0.00046206,             0.00046206,             0.00046206
                     62,                0.57093,                 1.0853,                0.49165,                0.98528,                0.82004,                0.81814,                0.84829,                0.72673,                0.83539,                 0.8021,                0.83948,                0.69568,                0.54622,                 1.2535,                0.61024,                 1.0621,             0.00045107,             0.00045107,             0.00045107
                     63,                0.55768,                 1.0447,                0.48699,                 0.9784,                0.82816,                0.82782,                0.86553,                0.73968,                 0.8596,                0.79563,                0.85427,                0.70744,                0.54136,                 1.2647,                0.58617,                 1.0493,             0.00044007,             0.00044007,             0.00044007
                     64,                 0.5626,                 1.0597,                0.50336,                0.98005,                0.83704,                0.81457,                0.85102,                0.72864,                0.83729,                0.79734,                0.83907,                0.69268,                0.55595,                 1.2915,                0.59581,                 1.0782,             0.00042907,             0.00042907,             0.00042907
                     65,                0.55058,                  1.043,                0.47577,                0.97489,                 0.8496,                0.81051,                0.86369,                0.73726,                0.84422,                0.80526,                0.84769,                0.70188,                0.54608,                 1.2462,                0.58784,                 1.0617,             0.00041807,             0.00041807,             0.00041807
                     66,                0.54304,                 1.0248,                0.46972,                0.97452,                0.83355,                 0.8245,                0.85564,                0.73571,                0.82715,                0.82069,                0.84208,                 0.6983,                 0.5454,                 1.2992,                0.60494,                 1.0639,             0.00040707,             0.00040707,             0.00040707
                     67,                0.55458,                 1.0369,                0.47311,                0.97468,                0.82128,                0.83049,                0.86065,                0.74339,                0.81983,                0.82688,                0.85113,                0.70739,                0.53663,                  1.305,                0.58688,                 1.0507,             0.00039607,             0.00039607,             0.00039607
                     68,                0.54468,                 1.0377,                0.47462,                 0.9761,                0.83495,                0.82334,                0.86161,                0.74148,                0.82906,                0.82103,                0.85303,                0.70927,                0.53432,                 1.2625,                0.57801,                 1.0452,             0.00038507,             0.00038507,             0.00038507
