                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.66705,                 1.3297,                0.66768,                  1.046,                0.79147,                0.80541,                0.85101,                0.72264,                0.78759,                0.80213,                0.83936,                0.67879,                0.56105,                 1.2396,                0.67973,                 1.0379,             0.00063805,             0.00063805,             0.00063805
                     46,                0.66302,                 1.2994,                0.65207,                 1.0462,                0.79228,                0.84852,                0.87859,                0.74901,                0.78769,                0.84281,                0.86499,                0.71258,                 0.5441,                 1.1939,                0.61163,                 1.0345,             0.00062705,             0.00062705,             0.00062705
                     47,                0.65457,                 1.2885,                0.63668,                 1.0385,                0.82932,                0.82662,                0.87321,                0.73801,                0.81833,                 0.8145,                0.85382,                 0.6973,                0.56219,                 1.3052,                0.62756,                 1.0474,             0.00061605,             0.00061605,             0.00061605
                     48,                0.65882,                 1.2917,                0.64345,                 1.0384,                0.78336,                 0.8281,                0.86502,                0.72325,                0.77087,                0.82175,                0.84503,                0.68291,                 0.5783,                 1.2216,                0.68073,                 1.0571,             0.00060505,             0.00060505,             0.00060505
                     49,                0.64784,                 1.2675,                0.63492,                 1.0375,                 0.7997,                0.83118,                0.87177,                0.73985,                0.82114,                0.80032,                0.86148,                0.70214,                0.57029,                 1.2202,                0.63155,                 1.0474,             0.00059405,             0.00059405,             0.00059405
                     50,                0.66047,                 1.2688,                0.64598,                 1.0407,                0.81731,                0.82918,                0.86857,                0.74082,                0.81489,                0.82592,                0.86268,                0.69894,                0.54876,                 1.2359,                0.63903,                 1.0318,             0.00058305,             0.00058305,             0.00058305
                     51,                 0.6433,                 1.2536,                0.62546,                 1.0326,                0.82393,                0.83179,                0.86979,                0.73577,                0.83083,                0.81087,                0.85313,                0.70065,                0.56195,                 1.2204,                0.61736,                 1.0341,             0.00057205,             0.00057205,             0.00057205
                     52,                0.64251,                 1.2523,                0.62185,                 1.0265,                0.80442,                0.83686,                0.86966,                0.73863,                 0.8126,                0.81668,                0.85787,                0.69394,                 0.5418,                 1.2156,                0.61987,                 1.0191,             0.00056105,             0.00056105,             0.00056105
                     53,                0.64015,                 1.2436,                0.61453,                 1.0292,                0.79686,                0.82094,                0.86625,                0.73049,                0.79091,                0.82204,                0.85726,                0.69641,                0.56432,                 1.2302,                0.64397,                 1.0464,             0.00055006,             0.00055006,             0.00055006
                     54,                0.63504,                 1.2367,                0.61565,                 1.0265,                0.80652,                0.83821,                0.86955,                0.74354,                0.79273,                0.83153,                0.84856,                0.69713,                0.55265,                  1.243,                 0.6212,                 1.0341,             0.00053906,             0.00053906,             0.00053906
                     55,                0.63041,                 1.2313,                0.61098,                 1.0233,                0.83363,                0.83715,                0.88867,                0.75336,                0.82496,                0.82644,                0.86869,                0.71412,                  0.552,                 1.2153,                0.61263,                 1.0412,             0.00052806,             0.00052806,             0.00052806
                     56,                0.63755,                 1.2418,                0.61275,                 1.0279,                0.81066,                0.82864,                0.86508,                0.73249,                0.80339,                0.81722,                 0.8502,                0.69529,                0.56014,                 1.2222,                 0.6456,                 1.0444,             0.00051706,             0.00051706,             0.00051706
                     57,                0.63062,                 1.2158,                0.60342,                 1.0229,                0.81666,                0.83758,                0.87599,                0.74676,                  0.811,                0.83073,                0.86223,                0.70912,                0.55769,                 1.2135,                0.61936,                 1.0448,             0.00050606,             0.00050606,             0.00050606
                     58,                0.63474,                 1.2146,                0.59574,                 1.0214,                 0.8235,                0.82791,                0.87205,                0.74603,                0.82567,                0.82821,                0.86433,                0.71254,                0.54924,                 1.2018,                0.62435,                 1.0339,             0.00049506,             0.00049506,             0.00049506
                     59,                0.62064,                 1.1936,                0.58836,                 1.0154,                0.84271,                0.80609,                0.86886,                0.74255,                0.82337,                0.81284,                0.85912,                0.70833,                0.54394,                 1.2113,                0.63044,                 1.0328,             0.00048406,             0.00048406,             0.00048406
                     60,                0.62928,                 1.2174,                0.59669,                 1.0243,                0.81289,                0.84057,                0.87042,                 0.7469,                0.81746,                0.83115,                0.86022,                0.71234,                0.54296,                 1.2059,                0.60242,                 1.0306,             0.00047306,             0.00047306,             0.00047306
                     61,                0.62029,                  1.209,                0.58339,                 1.0183,                0.81812,                0.85098,                 0.8767,                0.75499,                0.80863,                0.83306,                0.86211,                0.71181,                0.53114,                 1.2145,                0.60969,                 1.0221,             0.00046206,             0.00046206,             0.00046206
